Defect ID,Title,Subject,Description,Recovery Method,Priority,Severity,Frequency,Detected In Release,Phase,Status,Created At,Created By
DEF-000001,bug1,,"[Actual result]
趋势
[Relevant validation]
周边
[Test Steps]
1.
2.
→issue occurred

[Expected result]
正确
[Test Environment]
win11
",,B,B,1天再现1次,0.1,,New,2025-12-03 07:24:26,dayun
DEF-000002,Bug2,,"[Actual result]

[Relevant validation]

[Test Steps]

→issue occurred

[Expected result]

[Test Environment]

",,B,B,20%,0.1,,New,2025-12-03 07:25:37,dayun
DEF-000003,bug3,,"[Actual result]

[Relevant validation]

[Test Steps]

→issue occurred

[Expected result]

[Test Environment]

",bugaosuni,A,D,30%,0.2,,New,2025-12-03 07:36:01,dayun
DEF-000004,bug4,模块1,"[Actual result]

[Relevant validation]

[Test Steps]

→issue occurred

[Expected result]

[Test Environment]

",bugaosuni,B,B,22,0.2,FF,New,2025-12-03 08:22:35,dayun
DEF-000005,Example Defect Title,UI,"[Actual result]
Describe the actual result

[Expected result]
Describe the expected result",Recovery method description,A,A,100%,v1.0.0,System Test,New,2025-12-03 08:37:58,dayun
DEF-000006,bug5,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000007,bug6,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000008,bug7,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000009,bug8,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000010,bug9,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000011,bug10,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000012,bug11,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000013,bug12,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000014,bug13,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000015,bug14,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000016,bug15,模块1,˵��,,D,D,100%,v1.0.0,FF,Closed,2025-12-03 08:37:58,dayun
DEF-000017,bug16,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000018,bug17,模块1,˵��,,D,D,100%,v1.0.0,FF,New,2025-12-03 08:37:58,dayun
DEF-000022,登录页面无法输入用户名2222,登录模块,用户无法在用户名输入框中输入内容,刷新页面后重试,A,B,100%,v1.0.0,系统测试,New,2025-11-03 00:00:00,dayun
DEF-000023,NewzhongljaKLSJKLJKLJKLJKLJKLJLK,模块2,"[Actual result]

[Relevant validation]

[Test Steps]

→issue occurred

[Expected result]

[Test Environment]

",,B,B,10%,2,RC,Resolved,2025-12-04 02:56:33,dayun
DEF-000024,写个中文看看我要多写点我要多写点我要多写点我要多写点我要多写点我要多写点我要多写点,模块1,"[Actual result]
我要多写点
我要多写点
我要多写点
我要多写点
[Relevant validation]
我要多写点
我要多写点
我要多写点
我要多写点

[Test Steps]
我要多写点
我要多写点
我要多写点
我要多写点
→issue occurred

[Expected result]
我要多写点
我要多写点
我要多写点
我要多写点

[Test Environment]
我要多写点
我要多写点
",1,B,B,1,2,FF,Active,2025-12-04 03:29:17,dayun
